artwork_id,artist_name,title,exhibition_history,is_on_view,date,category_titles,artwork_type_title
83889,"Willem de Kooning
American, born Netherlands, 1904-1997",Two Women's Torsos,"New York, Sidney Janis Gallery, “Willem de Kooning: Paintings on the Theme of Woman,”  Mar. 16-Apr. 11, 1953, cat. 8, no cat.

New York, Museum of Modern Art, ""New Images of Man,"" 1959-60, pp. 94 (ill.) and 153, cat. 63; traveled to the Baltimore Museum of Art.

New York, Museum of Modern Art, ""Willem de Kooning,"" 1968, p. 165, cat. 127, as ""Two Women;"" traveled to the Tate Gallery, London, Dec. 5, 1968-Jan. 26, 1969.

Chicago, Richard Gray Gallery, ""Willem de Kooning, 1941-1959,"" Oct. 4-Nov. 16, 1974, n.p., cat. 15 (ill.), as ""Two Women.""

Chicago, Museum of Contemporary Art, ""Drawings by Five Abstract  Expressionist Painters,"" Jan. 10-Feb. 29, 1976, n.p., as ""Two Women, c. 1952-53.""

New York, Whitney Museum of American Art, ""Willem de Kooning: Drawings, Paintings, Sculpture,"" Dec. 7, 1983-Feb. 19, 1984, p. 59, cat. 54 (ill.).

Art Institute of Chicago, ""Edgar Degas: Passing on the Tradition: Prints and Drawings,"" Sept. 1, 1996-Jan. 26, 1997, no cat.

Art Institute of Chicago, ""The Broad Spectrum: Color on Paper, Past and Present,"" Sept. 12–Oct. 31, 1999, no cat.

Los Angeles, The Museum of Contemporary Art, ""Willem de Kooning: Tracing the Figure,"" Feb. 10-Apr. 28, 2002, pp. title page (detail), 148 (ill.) and 195, cat. 70, as ""Torsos, Two Women, c. 1952-53;"" traveled to The National Gallery of Art, Washington, D.C., Sept. 29, 2002-Jan. 5, 2003.

Art Institute of Chicago, ""Modern and Contemporary Works on Paper,"" Mar. 24-Sept. 13, 2009, no cat.

New York, Museum of Modern Art, ""de Kooning: a Retrospective"", Sept. 18, 2011-Jan. 9, 2012, p. 267-68, pl. 90.",False,1952,Prints and Drawings,Drawing and Watercolor
270159,"Idelle Weber
American, 1932-2020",Convention Fury,"New London, CT, Lyman Allyn Art Museum, Pop Goes the Easel: Pop Art and its Progeny, Mar. 2–Aug. 10, 2013, no cat. 

New York, Broadway 1602 Harlem, Idelle Weber: Sunny–Works from New York’s Pop Era, Mar. 4–Apr. 30, 2017, no cat.",False,1968,Contemporary Art,Sculpture
59944,"Pierre-Auguste Renoir
French, 1841-1919",The Laundress,"Paris, Galeries Durand-Ruel, Exposition A. Renoir, May 1892, cat. 8, as Laveuse.

Art Institute of Chicago, Exhibition of the Worcester Collection, July 24–Sept. 23, 1923, no cat.

Toledo Museum of Art, Paintings by French Impressionists and Post-Impressionists, Nov. 7–Dec. 12, 1937, cat. 30 (ill.).

New York, Wildenstein, Renoir: A Loan Exhibition for the Benefit of the American Association of Museums in Commemoration of the Fiftieth Anniversary of Renoir’s Death, Mar. 27–May 3, 1969, cat. 37 (ill.).

Art Institute of Chicago, Paintings by Renoir, Feb. 3–Apr. 1, 1973, cat. 31 (ill.).

Atlanta, High Museum of Art, May 25, 1984–May 30, 1985, no cat.

Tokyo, Bridgestone Museum of Art, Renoir: From Outsider to Old Master, 1870–1892, Feb. 10–Apr. 15, 2001, cat. 13 (ill.); Nagoya City Art Museum, Apr. 21–June 24, 2001.

Columbus (Ohio) Museum of Art, Renoir’s Women, Sept. 23, 2005–Jan. 8, 2006, cat. 2.

Fort Worth, Tex., Kimbell Art Museum, The Impressionists: Master Paintings from the Art Institute of Chicago, June 29–Nov. 2, 2008, cat. 25 (ill.).

Cleveland Museum of Art, Degas and the Laundress: Women, Work, and Impressionism, Oct. 8, 2023-Jan. 14, 2024, cat. 51.",True,1877/79,Painting and Sculpture of Europe,Painting
40997,"Designed by Jean Lurçat (French, 1892–1966)
Produced by Maison Myrbor
Algeria or France",Le Jardin (The Garden),"Art Institute of Chicago, Elizabeth F. Cheney and Agnes Allerton Textile Galleries, On or Off the Wall: An International Selection of Tapestries and Carpets, 1920s–1970s, May 14, 2003–Feb. 8, 2004, brochure.",False,1925/26,Textiles,Textile
79586,"Edgar Degas
French, 1834–1917",Portrait of Mme Lisle and Mme Loubens,,False,c. 1867,Painting and Sculpture of Europe,Painting
14572,"Edgar Degas
French, 1834-1917",The Millinery Shop,"The Art Institute of Chicago, Mrs. L.L. Coburn Collection: Modern Paintings and Water Colors, April 6, 1932-October 9, 1932, cat. 9 (ill.).

The Art Institute of Chicago, A Century of Progress Exhibition of Paintings and Sculpture, June 1-November 1, 1933, cat. 286, pl. 53.

Northampton, Mass., Smith College Museum of Art, Edgar Degas, November 28-Deceber 18, 1933, cat. 8 (ill.).

The Art Institute of Chicago, A Century of Progress Exhibition of Paintings and Sculpture, June 1-November 1, 1934, cat. 202.

Toledo, Ohio, Museum of Art, French Impressionists and Post-Impressionists, November 1934, cat. 1.

Springfield, Mass., Museum of Art, French Painting, Cézanne to the Present, December 1935-January 1936, cat. 1.

Philadelphia Museum of Art, Degas, November-December 1936, cat. 40 (ill.).

Worcester, Mass., Worcester Art Museum, The Art of The Third Republic, February-March 1941, cat. 4 (ill. on cover).

Cleveland Museum of Art, The Works of Edgar Degas, February 5-March 9, 1947, cat. 38 (ill.).

Philadelphia Museum of Art, Diamond Jubilee Exhibition: Masterpieces of Painting, November 4, 1950-February 11, 1951, cat. 74 (ill.).

Boston Museum of Fine Arts, Edgar Degas: The Reluctant Impressionist, June 21-September 1, 1974, cat. 20 (ill.).

Richmond, Va., The Virginia Museum, Degas, May 23-July 9, 1978, cat. 14 (ill.).

Albi, Musée Toulouse-Lautrec, Trésors impressionistes du Musée de Chicago, June 27-August 31, 1980, cat. 8 (ill.).

The Art Institute of Chicago, Degas in The Art Institute of Chicago, July 19-September 23, 1984, cat. 63 (ill.).

Paris, Galeries nationales du Grand Palais, Degas, February 9-May 16, 1988, cat. 235 (ill.); Ottawa, National Gallery of Canada, June 16-August 28, 1988; New York, The Metropolitan Museum of Art, September 27, 1988-January 8, 1989.

London, National Gallery, Degas: Beyond Impressionism, May 22-August 26, 1995, cat. 4 (ill.)., traveled to The Art Institute of Chicago, September 28, 1996-January 5, 1997.

Kansas City, The Nelson-Atkins Museum of Art, Invited Work: Edgar Degas, The Millinery Shop, July 22- November 26,  1995, no cat.

London, The National Gallery and The Art Institute of Chicago, Degas: Beyond Impressionism, 1996-1997, cat. 4. 

New York, Metropolitan Museum of Art, The Private Collection of Edgar Degas, October 1, 1997-January 11, 1998, no cat. no (fig. 96). 

Atlanta, High Museum of Art, Degas and America: The Early Collectors, cat. 54 (ill.), traveled to The Minneapolis Institute of Arts, June 16-September 9, 2001, shown in Minneapolis only.

Washington, DC, The Phillips Collection, Impressionist and Post-Impressionist Still-Life Painting, September 22, 2001-January 13, 2002, no cat. no (pl. 60), traveled to Boston, Museum of Fine Arts, February 17-June 9, 2002.

Fort Worth, Tex., Kimbell Museum of Art, The Impressionists: Master Paintings from the Art Institute of Chicago, June 29–November 2, 2008, cat. 41 (ill.).

St. Louis, Missouri, Saint Louis Art Museum, Degas, Impressionism, and the Paris Millinery Trade, February 12 - May 7, 2017, cat. 1; San Francisco, Legion of Honor, June 24 - September 25, 2017.

Paris, Musée d’Orsay, Manet/Degas, Mar. 27-July 23, 2023, cat. 105; New York, Metropolitan Museum of Art, Sep. 12, 2023-Jan. 7, 2024, pl. 125.",False,c. 1879-86,Painting and Sculpture of Europe,Painting
147004,Thailand,Buddha and Companions Riding a Mythical Animal,,False,"Dvaravati period, 8th century",Arts of Asia,Sculpture
198303,"Ellsworth Kelly
American, 1923-2015",Tableau Vert,,False,1952,Contemporary Art,Painting
185779,"Ellsworth Kelly
American, 1923-2015",Train Landscape,,False,1953,Contemporary Art,Painting
81533,"Édouard Manet
French, 1832-1883",The Races at Longchamp,"Paris, Ecole Nationale des Beaux-Arts, Exposition des Oeuvres de Edouard Manet, January 1884, cat. 61.

New York, Durand-Ruel Galleries, Exposition of Paintings by Edouard Manet, 1895, cat. 27.

The Art Institute of Chicago, A Century of Progress:  Exhibition Painting and Sculpture, June 1-November 1, 1933, cat. 332.

The Art Institute of Chicago, A Century of Progress:  Exhibition Painting and Sculpture, June 1-November 1, 1934, cat. 252.

New York, Wildenstein & Co., Edouard Manet: A Retrospective Loan Exhibition for the Benefit of French Hospitals, March-April, 1937, cat. 18 (ill.).

Cambridge, Mass., The Fogg Museum of Art, Harvard University, The Horse: Its Significance in Art, April 20-May 2, 1938, cat. 14 (ill.).

Detroit Institute of Arts, The Age of Impressionism and Objective Realism, May-June, 1940, cat. 20

New York, Wildenstein & Co., From Paris to Sea Down the River Seine, January-February, 1943, cat. 18 (ill.).

Richmond, Va., Virginia Museum of Fine Arts, Sport and the Horse, April 1-May 15, 1960, cat. 58.

Sarasota, Florida, John and Mable Ringling Museum of Art, Palmer Family Collections Exhibition, February 23-March 24, 1963, cat. 13.

Rochester, New York, The Rochester Memorial Art Gallery of the University of Rochester, In Focus: A Look at Realism in Art, December 28, 1964-January 31, 1965.

The Philadelphia Museum of Art, Manet, November 3-December 11, 1966, cat. 68 (ill.), traveled to The Art Institute of Chicago, January 13-February 19, 1967, shown only in Chicago.

Albi, Musée Toulouse-Lautrec, Trésors Impresionsistes de Museé de Chicago, June 27-August 31, 1980, cat. 2 (ill.).

Washington D.C., National Gallery of Art, Manet and Modern Paris, December 5, 1982-March 6, 1983, cat. 43 (ill.).

Paris, Galeries Nationales du Grand Palais, Manet, April 22-August 1, 1983, cat. 99 (ill.), traveled to New York, Metropolitan Museum of Art, September 10-November 27, 1983.

The Art Institute of Chicago, Manet as Printmaker: Works From the Permanent Collection, April 20-September 12, 1985, no cat.

Tokyo, Seibu Museum of Art, The Impressionist Tradition: Masterpieces from the Art Institute of Chicago, October 18- December 17, 1985, cat. 17 (ill.), traveled to Fukuoka Art Museum, January 5-February 2, 1986 and Kyoto Municipal Museum of Art, March 4-April 13, 1986.

The Art Institute of Chicago, Chicago’s Dream a World’s Treasure: The Art Institute of Chicago, 1893-1993, November 1, 1993-January 9, 1994, no cat. no., pl. 11.

Paris, Galeries Nationales du Grand Palais, Impressionnisme: Les origines, 1859–1869, April 19–August 8, 1994, cat. 106; New York, Metropolitan Museum of Art, Origins of Impressionism, September 27, 1994–January 8, 1995.

London, National Gallery, Impression: Painting Quickly in France, 1860-1890, November 1, 2000-January 28, 2001, no cat. no. (ill.); Amsterdam, Van Gogh Museum, March 2-May 20, 2001; Williamstown, Mass., Sterling and Francine Clark Art Institute, June 16-September 9, 2001. 

Staatsgalerie Stuttgart, Edouard Manet und die Impressionisten, September 21, 2002-February 9, 2003, cat. 9 (ill.).

Fort Worth, Tex., Kimbell Museum of Art, The Impressionists: Master Paintings from the Art Institute of Chicago, June 29–November 2, 2008, cat. 7 (ill.).

The Art Institute of Chicago, Degas: At the Track, On the Stage, July 1, 2015-February 26, 2016, no cat.

Wuppertal, Von der Heydt-Museum, Edouard Manet, October 22, 2017-February 25, 2018.

Washington, DC, The Phillips Collection, An Italian Impressionist in Paris: Giuseppe De Nittis, Nov. 12, 2022-Feb. 12, 2023, pl. 39.

Paris, Musée d’Orsay, Manet/Degas, Mar. 27-July 23, 2023, cat. 68; New York, Metropolitan Museum of Art, Sep. 12, 2023-Jan. 7, 2024, pl. 101.",False,1866,Painting and Sculpture of Europe,Painting
